01:000108:0001 A00 BG-01-5530-12-0100 02 はな
01:000108:0002 A00 BG-08-0061-07-0100 61 の
01:000108:0003 A00 BG-02-1552-01-0100 47 ちる
01:000108:0004 A00 BG-01-1010-01-0200 02 こと
01:000108:0005 A00 BG-08-0065-14-0100 65 や
01:000108:0006 A00 BG-03-3011-03-1900 51 わびし
01:000108:0007 C00 BG-01-1624-02-0100 16 はる
01:000108:0007 C01 BG-01-5152-09-0100 02 かすみ
01:000108:0008 A00 CH-29-0000-00-1800 11 たつた
01:000108:0009 A00 BG-08-0061-07-0100 61 の
01:000108:0010 A00 BG-01-5240-05-0100 02 やま
01:000108:0011 A00 BG-08-0061-07-0100 61 の
01:000108:0012 A00 BG-01-5620-02-1300 02 うぐひす
01:000108:0013 A00 BG-08-0061-07-0100 61 の
01:000108:0014 A00 BG-01-3031-01-0101 02 こゑ
01:000283:0001 E00 CH-29-0000-00-1800 11 たつた
01:000283:0001 E01 BG-08-0071-01-0100 71 の
01:000283:0001 E02 BG-01-5250-01-0102 02 かは
01:000283:0002 A00 BG-02-5020-01-1201 47 もみづ
01:000283:0003 A00 BG-02-1300-03-0100 47 みだる
01:000283:0004 A00 BG-08-0064-16-0100 64 て
01:000283:0005 A00 BG-03-1200-02-0200 51 なし
01:000283:0006 A00 BG-09-0020-03-0300 74 めり
01:000283:0007 A00 BG-02-1503-01-0201 47 わたる
01:000283:0008 A00 BG-08-0064-26-0100 64 ば
01:000283:0009 A00 BG-01-4201-03-0100 02 にしき
01:000283:0010 A00 BG-01-1101-02-0500 02 なか
01:000283:0011 A00 BG-08-0065-14-0100 65 や
01:000283:0012 A00 BG-02-1240-04-0101 47 たゆ
01:000283:0013 A00 BG-03-1200-02-0900 74 ぬ
01:000283:0014 A00 BG-03-3012-03-2600 74 む
01:000284:0001 E00 CH-29-0000-00-1800 11 たつた
01:000284:0001 E01 BG-08-0071-01-0100 71 の
01:000284:0001 E02 BG-01-5250-01-0102 02 かは
01:000284:0002 C00 BG-01-5530-10-0300 02 もみじ
01:000284:0002 C01 BG-01-5530-09-0100 02 は
01:000284:0003 A00 BG-02-1523-06-0102 47 ながる
01:000284:0004 A00 CH-29-0000-00-1300 11 かむなび
01:000284:0005 A00 BG-08-0061-07-0100 61 の
01:000284:0006 A00 CH-29-0000-00-1401 11 みむろ
01:000284:0007 A00 BG-08-0061-07-0100 61 の
01:000284:0008 A00 BG-01-5240-05-0100 02 やま
01:000284:0009 A00 BG-08-0061-05-0100 61 に
01:000284:0010 A00 BG-02-5150-03-0700 47 しぐる
01:000284:0011 A00 BG-02-1540-10-0100 47 ふる
01:000284:0012 A00 BG-09-0010-02-0400 74 らし
01:000294:0001 A00 BG-01-5151-01-1600 02 ち
01:000294:0002 A00 BG-03-1940-01-0102 51 はやし
01:000294:0003 A00 BG-02-1511-02-0200 47 ふる
01:000294:0004 A00 BG-01-1623-02-0400 02 かみよ
01:000294:0005 A00 BG-08-0065-08-0100 65 も
01:000294:0006 A00 BG-02-3092-01-0100 47 きく
01:000294:0007 A00 BG-03-1200-02-0800 74 ず
01:000294:0008 E00 CH-29-0000-00-1800 11 たつた
01:000294:0008 E01 BG-08-0071-01-0100 71 の
01:000294:0008 E02 BG-01-5250-01-0102 02 かは
01:000294:0009 C00 BG-01-2590-02-0600 02 から
01:000294:0009 C01 BG-01-5020-04-0500 02 くれない
01:000294:0010 A00 BG-08-0061-05-0100 61 に
01:000294:0011 A00 BG-01-5130-03-0201 02 みづ
01:000294:0012 A00 BG-02-1516-02-1600 47 くぐる
01:000294:0013 A00 BG-08-0061-04-0100 61 と
01:000294:0014 A00 BG-08-0065-07-0100 65 は
01:000298:0001 E00 CH-29-0000-00-1800 11 たつた
01:000298:0001 E01 BG-01-2030-01-1001 02 ひめ
01:000298:0002 C00 BG-01-5730-02-0100 02 て
01:000298:0002 C01 BG-02-1700-01-0400 47 むける
01:000298:0003 A00 BG-01-2030-01-0300 02 かみ
01:000298:0004 A00 BG-08-0061-07-0100 61 の
01:000298:0005 A00 BG-02-1200-01-0102 47 あり
01:000298:0006 A00 BG-08-0064-26-0100 64 ば
01:000298:0007 A00 BG-08-0065-01-0100 65 こそ
01:000298:0008 A00 BG-01-1624-04-0100 02 あき
01:000298:0009 A00 BG-08-0061-07-0100 61 の
01:000298:0010 A00 BG-01-5510-02-0101 02 こ
01:000298:0011 A00 BG-08-0061-07-0100 61 の
01:000298:0012 A00 BG-01-5530-09-0100 02 は
01:000298:0013 A00 BG-08-0061-07-0100 61 の
01:000298:0014 A00 BG-01-4500-02-1700 02 ぬさ
01:000298:0015 A00 BG-08-0061-04-0100 61 と
01:000298:0016 A00 BG-02-1552-01-0100 47 ちる
01:000298:0017 A00 BG-09-0010-02-0103 74 らむ
01:000300:0001 A00 CH-29-0000-00-1300 11 かむなび
01:000300:0002 A00 BG-08-0061-07-0100 61 の
01:000300:0003 A00 BG-01-5240-05-0100 02 やま
01:000300:0004 A00 BG-08-0061-10-0100 61 を
01:000300:0005 A00 BG-02-1525-01-0100 47 すぐ
01:000300:0006 A00 BG-02-1527-03-0101 47 ゆく
01:000300:0007 A00 BG-01-1624-04-0100 02 あき
01:000300:0008 A00 BG-09-0010-02-0700 74 なり
01:000300:0009 A00 BG-08-0064-26-0100 64 ば
01:000300:0010 E00 CH-29-0000-00-1800 11 たつた
01:000300:0010 E01 BG-08-0071-01-0100 71 の
01:000300:0010 E02 BG-01-5250-01-0102 02 かは
01:000300:0011 A00 BG-08-0061-05-0100 61 に
01:000300:0012 A00 BG-08-0065-05-0100 65 ぞ
01:000300:0013 A00 BG-01-4500-02-1700 02 ぬさ
01:000300:0014 A00 BG-08-0065-07-0100 65 は
01:000300:0015 C00 BG-01-5730-02-0100 02 て
01:000300:0015 C01 BG-02-1700-01-0400 47 むける
01:000302:0001 C00 BG-01-5530-10-0300 02 もみじ
01:000302:0001 C01 BG-01-5530-09-0100 02 は
01:000302:0002 A00 BG-08-0061-07-0100 61 の
01:000302:0003 A00 BG-02-1523-06-0102 47 ながる
01:000302:0004 A00 BG-03-1200-02-0800 74 ず
01:000302:0005 A00 BG-09-0010-04-0200 74 き
01:000302:0006 A00 BG-08-0064-26-0100 64 ば
01:000302:0007 E00 CH-29-0000-00-1800 11 たつた
01:000302:0007 E01 BG-08-0071-01-0100 71 の
01:000302:0007 E02 BG-01-5250-01-0102 02 かは
01:000302:0008 A00 BG-01-5130-03-0201 02 みづ
01:000302:0009 A00 BG-08-0061-07-0100 61 の
01:000302:0010 A00 BG-01-1624-04-0100 02 あき
01:000302:0011 A00 BG-08-0061-10-0100 61 を
01:000302:0012 A00 BG-08-0065-07-0100 65 は
01:000302:0013 A00 BG-01-2000-06-0100 14 たれ
01:000302:0014 A00 BG-08-0065-14-0400 65 か
01:000302:0015 A00 BG-02-3060-07-0100 47 しる
01:000302:0016 A00 BG-03-3012-03-2500 74 まし
01:000311:0001 A00 BG-01-1630-01-0100 02 とし
01:000311:0002 A00 BG-01-1613-01-0200 28 ごと
01:000311:0003 A00 BG-08-0061-05-0100 61 に
01:000311:0004 C00 BG-01-5530-10-0300 02 もみじ
01:000311:0004 C01 BG-01-5530-09-0100 02 は
01:000311:0005 A00 BG-02-1523-06-0200 47 ながす
01:000311:0006 E00 CH-29-0000-00-1800 11 たつた
01:000311:0006 E01 BG-08-0071-01-0100 71 の
01:000311:0006 E02 BG-01-5250-01-0102 02 かは
01:000311:0007 A00 BG-01-4720-06-0101 02 みなと
01:000311:0008 A00 BG-08-0065-14-0100 65 や
01:000311:0009 A00 BG-01-1624-04-0100 02 あき
01:000311:0010 A00 BG-08-0061-07-0100 61 の
01:000311:0011 A00 BG-02-3330-09-0100 47 とまる
01:000311:0012 A00 BG-09-0010-02-0700 74 なり
01:000311:0013 A00 BG-09-0010-02-0103 74 らむ
01:000314:0001 E00 CH-29-0000-00-1800 11 たつた
